FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A,Annual,ASM,American Samoa,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.3276,171.4229,179.4282,174.035,163.8683,154.4049,152.9227,157.0772,155.1688,152.9507,140.3643,140.4534,144.0378,139.0903,139.162,142.1213,145.612,146.4089,144.9825,148.7038,152.543,151.666,151.2868,150.0396,144.5466,142.8977,143.0939,143.264,143.1413,143.1697,139.3211,139.2562
A,Annual,ATG,Antigua and Barbuda,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,17.825,18.2069,18.3678,20.62,20.743,20.3105,21.0043,21.9316,22.9332,23.168,24.1493,23.8125,23.5942,22.7244,22.6631,24.0645,24.8951,29.6435,37.8874,42.9956,42.5274,45.5924,46.6696,47.7818,52.928,54.1297,54.8339,55.3289,50.3579,118.0176,121.6517,119.0676,120.7423,122.9475,128.7564,129.8259,133.0406,140.5422,143.2229,147.2245,157.849,169.3867,171.6155,179.7215,178.4613,178.1777,186.1013,177.9561,177.8395,168.0379,182.7502,179.4584,185.5263,176.4126,180.2555,183.7637,185.5157,191.2275,196.1177,194.0121,232.6823
A,Annual,AUS,Australia,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,102434.8516,106164.4327,107845.0426,111055.4616,112289.9673,106068.995,109095.761,112935.2476,118471.2002,133632.8353,138226.5086,140419.6874,136987.5689,145636.2559,152637.4772,153620.4922,144627.4532,138986.2129,135024.3393,134078.4734,131417.8933,131311.4564,125330.4809,127662.4056,130954.6601,131401.8476,128552.4309,130031.0947,134980.3818,282733.5637,281667.2938,278004.6636,276284.073,278713.7598,275886.5222,269355.1867,270247.9003,279745.835,312019.1964,330284.5771,357955.2231,345281.3845,269543.1875,312979.2071,272718.5701,308573.2882,301807.3948,269322.7037,280196.6699,257146.8661,285320.1663,284072.2712,203845.1318,224948.1193,218224.8987,188023.0915,231044.7966,228639.5291,193888.277,166830.9514,189201.0103
A,Annual,AUT,Austria,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,9676.2672,9901.2901,9786.8228,9522.6403,9673.1645,9772.5071,10073.7236,10137.1508,10061.077,29358.0296,29424.4023,29640.931,30484.7416,31213.6766,29976.4095,30589.2657,29639.7171,29986.6191,31399.0345,30750.0763,30623.1758,29092.6762,29842.5486,28022.0492,28977.6603,27709.0898,27056.7051,26734.3301,21808.1753,20804.3476,21058.9159,19825.2018,19292.3835,19215.7731,19112.154,19563.7594,19661.9792,19511.3422,19109.7285,18985.465,17845.9668,18254.9444,18495.3235,18438.2185,18436.029,18281.2699,17949.1719,18097.7588,17347.7716,18092.3538,18467.0183,17681.2991,17743.9072,17529.3,17931.3892,17687.365,17873.5791,17651.0374,17410.4486,17058.7928,17461.0671
A,Annual,AZE,Azerbaijan,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15569.879,15149.32,12015.1854,11507.0772,11710.7627,9887.3981,10087.8725,10485.7652,10359.0992,10709.1916,11090.149,11643.7597,12088.5597,12810.0522,13012.3421,13332.3177,14411.6529,14495.6848,14588.5465,14534.5737,15264.6333,14461.7776,14753.9723,16098.9892,16607.3979,16139.8396,16463.3831,17185.4579,17507.9697,17999.1683
A,Annual,BDI,Burundi,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,784.4631,800.2214,803.1374,826.8594,891.5724,914.3619,1002.8151,1034.6792,1141.2945,1180.0189,1187.9875,1269.634,1327.4857,1344.0923,1398.2549,1395.3311,1393.1034,1392.5411,1436.0414,1169.9055,938.6332,943.498,955.2114,968.0496,904.2579,1051.6151,990.051,1019.5037,1007.4552,6941.9112,6987.4328,7037.385,7016.9723,6937.8094,7120.0068,7155.8875,7228.4598,7162.056,7254.5199,7308.5886,5266.0918,5271.2169,5311.3319,5402.2726,5496.3327,5623.2047,5701.0749,5830.5701,5974.2325,6185.9726,6355.8618,6408.9257,6818.9788,6767.6949,6768.2209,7085.3227,7615.869,7703.3445,7297.5326,7351.1544,7611.6494
A,Annual,BEL,Belgium,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27318.9516,26301.2905,26019.5359,28277.9882,28436.2168,29316.0871,28021.4625,26332.6717,26321.0487,26066.9748,26848.2301,28075.5307,28205.7346,28153.9821,27806.3553,28536.5295,23916.3957,23521.7463,24219.5266,23970.4993,22848.8701,23731.7529
A,Annual,BEN,Benin,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,761.6521,824.1833,891.514,946.6385,1038.7155,1102.0348,1171.4909,1143.1955,1223.7832,1246.952,1277.3671,1375.864,1496.1875,1431.4378,1544.6878,1564.3899,1606.0888,1671.2162,1704.0924,1816.0373,1883.1321,1949.6991,2087.7478,2165.3247,2259.3587,1965.9594,1958.3531,1957.6936,1933.9271,18915.0497,19079.52,19159.8871,19182.4753,19456.1623,19246.1726,20381.0241,20453.0658,21103.4235,20830.216,21392.372,15777.7987,16409.2469,16180.5882,16109.7047,17062.4145,16703.7762,16944.7286,16597.0931,16866.3877,16962.1775,17233.7873,17316.3243,17634.0233,17578.3159,17728.4338,18053.6249,18069.9453,18679.0755,19017.0731,19019.5791,19157.1726
A,Annual,BFA,Burkina Faso,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,3765.12,3946.9155,3750.8622,4045.205,4547.0055,4648.5085,4782.2192,4910.6368,5004.8839,5104.1507,5199.331,4910.4118,4638.486,4827.3103,5066.4102,15466.2148,14602.437,15377.12,14830.7066,14992.5525,15880.046,16374.9725,16245.0534,16193.9131,17395.5794,16905.122,17270.5428,18152.3463,18466.0567,19566.1676,20033.859,20365.7035,20576.9539,20916.4226,21315.1337,22142.888,22725.2087,23152.2924,23431.2256,24417.2849,22952.2834,23665.8728,27066.1249,27728.201,28379.7984,28156.3083,28609.8466,29003.8841,29627.618,30637.1087,30158.8934,30352.0297,31126.8292,31582.8853,31973.917,33253.874,33628.9541,33955.2628,34546.7016,35408.1074,36057.6688
A,Annual,BGD,Bangladesh,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,49285.7097,50703.4196,52622.1797,55213.1916,55173.9236,55224.7742,58470.2071,58827.6933,61260.7657,60942.8521,58613.2214,69126.1902,68851.9875,69088.4963,71768.7363,71537.7965,73062.1409,77495.7911,79571.0848,69703.7265,70478.925,71621.5666,69879.0421,71481.5136,72734.8049,74443.3262,74454.6353,75149.9395,77296.8216,103369.4901,104083.6711,105041.7226,104948.3311,106274.7751,108696.8429,108357.192,108690.2325,108136.648,111508.0963,112013.499,113783.074,116043.2746,116523.0722,116156.0923,118727.5803,120994.1805,121152.7002,125823.8561,126296.5985,127654.0695,132729.2917,132614.441,133042.6715,134588.0914,134325.1649,130602.9492,134198.7991,135402.1608,136746.8093,137410.7953,139806.6542
A,Annual,BGR,Bulgaria,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,9582.9588,10078.6336,10015.0858,10263.5855,10806.5206,11000.4879,10913.4682,11133.6469,10828.2011,20428.6412,20486.0131,21237.9006,21082.7367,21136.4754,21924.6131,22295.0962,22226.2266,22580.3829,23105.6457,23453.2989,23846.5799,24150.4632,24047.5579,24154.1372,23638.8328,23384.1252,23129.529,23315.1223,22904.2752,24085.1722,21398.2452,20337.5107,18410.2205,17427.0529,16129.7136,13803.7204,13247.0679,13269.2573,13405.4304,13679.9634,14852.1533,15124.2873,15893.2592,15867.2199,15730.0777,15335.4864,15986.1402,15197.4946,14990.7578,14785.0081,12213.7098,11184.6244,11088.1587,11263.8247,11606.4476,15020.8928,15179.9095,14903.3082,15039.964,14922.331,15666.9907
A,Annual,BHR,Bahrain,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,9.3359,9.4492,9.6435,9.8141,9.9735,11.1673,11.2106,11.2106,11.4999,11.6173,11.9962,13.271,14.2619,12.6944,13.6227,13.9443,14.8163,15.128,17.0755,16.831,18.3234,18.044,19.1201,9367.7153,9349.6155,9359.731,9354.0306,9376.9577,9392.4909,1503.0299,1480.3213,1592.5697,1717.7793,1801.3225,1905.8309,1973.49,1759.1034,1511.3095,1650.6802,1838.8515,2057.144,2361.3594,2446.7755,2469.9185,2752.5913,3076.9313,2891.5299,3050.5044,3197.5165,3074.7714,3086.9048,3147.4699,3314.728,3387.0963,3438.746,3443.6184,3535.5684,3613.8315,3842.888,3777.1562,3904.6639
A,Annual,BHS,"Bahamas, The",FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,21.6027,21.766,21.847,23.2525,23.7926,25.6732,26.3622,25.1969,23.8331,23.4407,23.4487,23.0755,24.2145,18.8763,17.6529,20.2572,20.6783,17.2934,15.7412,16.6767,18.0674,16.8241,16.0767,16.2538,15.8455,15.7757,15.8363,15.7646,16.4917,513.5335,534.5258,494.1619,490.4926,531.0231,567.0807,595.1408,590.6245,687.9551,732.623,760.6378,736.3535,773.5637,701.934,764.3147,700.8276,605.4192,625.4256,675.5965,668.4014,711.7409,752.0564,681.159,854.3533,817.2555,879.8328,899.2947,1072.9056,929.2476,905.6726,864.656,1102.4746
A,Annual,BIH,Bosnia and Herzegovina,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4037.7777,3834.5642,3269.2878,2878.7634,2704.2353,3360.3449,3860.742,4028.259,4348.3692,4334.8147,4446.0094,4698.8061,5042.4623,5243.7749,5613.8735,5842.6469,5977.232,6026.5878,6025.3045,6733.2271,6753.9957,6226.3033,6283.4343,6488.9255,6525.8039,6598.4188,6286.0314,5981.7839,5978.7457,5759.883
A,Annual,BLR,Belarus,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93092.9597,90460.6388,86727.9306,84814.1075,84296.4128,84191.8738,84338.3323,83888.7952,83575.9315,80084.7335,79356.4564,79538.16,80057.5538,80891.9869,81823.818,81830.3517,82766.8888,81733.1672,82913.852,87520.2642,87398.7154,89365.4866,89770.9532,88886.8223,84144.5881,85350.3214,85458.3537,85285.0149,85917.8434,85976.5777
A,Annual,BLZ,Belize,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,56.345,59.0627,64.7644,72.1963,80.2553,83.6819,82.8797,84.7118,89.1431,99.7791,104.0359,110.1207,113.7643,121.1713,127.8797,129.0513,124.7132,125.8597,131.2814,129.0292,128.5106,128.2588,129.7832,131.4646,130.7,132.2289,135.0264,146.0301,163.089,7045.674,7051.2689,7070.0372,7052.9526,7059.5359,7051.3195,7006.3006,7016.1321,7096.3857,7225.6067,7201.7747,3878.7754,3963.8004,4222.2258,3799.9992,3934.6274,3885.3398,4022.4291,3941.2642,3971.2477,4014.3277,6662.6337,6206.0542,6433.0122,6282.2046,6387.2284,6129.6654,6163.3639,6095.7115,6232.7304,6286.6728,6147.8387
A,Annual,BMU,Bermuda,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.5565,0.5565,1.6109,2.6178,52.4768,55.5714,41.2542,52.4408,48.9347,46.4867,41.89,38.7744,36.2132,36.2127,36.6679,36.8302,38.7924,36.5422,39.1286,42.8517,44.1188,65.0368,61.4996,63.0811,64.8642,59.8718,60.2396,62.4977,66.5989,58.4907,70.8853,58.7243,68.5781,66.4509,57.2151,54.9795
A,Annual,BOL,Bolivia,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,7668.0904,7901.025,8133.9918,8271.7895,8469.6929,8636.749,8890.5775,9131.4714,9365.282,19039.1478,19341.4749,19858.5847,20102.5637,21175.9717,21675.3408,22146.2184,22658.5636,23983.8964,24551.3756,24711.6915,24358.9203,24427.9435,26037.4262,24435.454,25404.5557,24096.6409,24801.2973,25198.8301,25501.307,102313.7482,102749.5052,103198.3236,103571.5514,104189.1781,104770.8164,105044.9949,106498.4569,107600.3833,114105.8343,105438.0696,84244.9522,90083.2151,86047.7782,100986.7982,94317.1984,95067.1966,100305.3049,93103.4953,91238.3907,115557.7355,99598.3886,98511.3392,96796.4591,95511.8752,98673.6159,108454.9617,106700.3774,107246.5322,118566.8778,115028.3409,117696.9751
A,Annual,BRA,Brazil,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,139069.1011,143310.9907,148787.1082,154238.8654,160421.4931,164095.1017,169549.2686,175207.8968,181107.3611,198490.3289,205010.0892,214921.2092,220844.8794,232674.0174,240185.7955,265377.7229,277551.2447,276357.8117,283492.9287,307746.6131,312545.3524,315205.4168,313497.9473,324252.4175,326080.7864,339047.6538,348701.4835,357007.2007,366375.3891,1869482.1504,1884572.8044,1893972.1132,1896147.1521,1907000.3027,1916833.3951,1904160.9243,1919929.8251,1942591.0149,1942145.803,1931190.3218,2178371.5113,2207420.7621,2225480.616,2255596.4465,2267017.8394,2248783.0546,2269133.2599,2261667.3675,2255807.2306,2320316.8895,1481156.6644,1496108.8792,1488430.914,1507891.0271,1517078.0613,1381749.31,1395627.9135,1371295.1733,1393325.1982,1413721.415,1428893.2279
A,Annual,BRB,Barbados,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,79.2419,82.0876,77.4249,80.2664,77.346,77.6757,79.9073,75.1611,78.8502,87.4778,85.1636,87.2751,91.8108,84.8076,75.3448,80.1396,78.6388,88.7447,89.9425,97.1,104.9648,99.9772,98.3496,95.6539,93.8014,114.2781,120.5847,121.1522,154.338,405.2813,458.4494,437.1175,422.5815,423.0815,454.288,451.9828,445.288,448.9645,451.8778,446.4461,425.3119,433.1678,445.1757,458.864,458.3749,451.9276,461.9176,468.704,467.1561,492.2774,485.0002,480.9183,462.4087,479.6808,474.5925,486.0856,488.6591,489.0425,493.3241,477.6937,484.74
A,Annual,BRN,Brunei Darussalam,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,54.2866,55.737,51.4102,43.3944,40.3155,47.8729,54.0884,57.1482,60.2258,9398.269,9393.8347,9391.0845,9391.0443,9399.0644,9396.8578,9395.7371,9394.3439,9391.7451,9391.7703,9393.9297,9393.7852,9394.875,9394.2414,9398.1174,9394.8648,9384.7285,9391.791,9392.5329,9392.4517,1976.8474,1966.1214,1991.3705,2043.6459,2092.4147,2115.7467,2096.3004,2362.5627,6701.6868,2115.3976,2135.7696,2274.1721,2283.7857,2482.2304,2417.9039,2433.983,2433.7191,2165.6792,2377.9999,2408.214,2368.0761,1504.9992,1557.7247,1464.3645,1580.0022,1474.9841,1455.6727,1378.5623,1487.9342,1529.3002,1645.2453,1636.7606
A,Annual,BTN,Bhutan,FAO_EMSTOT_6518,Greenhouse gas (GHG) emissions (CO2eq) (AR5) generated from agrifood systems,KT,Kilotonnes,FAO_EMSTOT,Emissions Totals,0,Units,A,Normal value,PU,Public,347.1884,356.7943,365.4264,375.1234,384.6287,392.7391,402.1283,411.583,421.0926,431.3839,441.5134,451.8884,460.9687,471.2588,483.1371,496.4944,507.4984,519.8807,529.6422,540.8586,555.6829,577.0553,600.0755,623.4304,649.367,18528.5821,10835.9797,12394.1647,7080.2741,774.3861,743.7663,691.2173,683.2449,681.5878,730.3027,711.9279,703.107,696.0085,732.2645,678.4551,615.6184,600.0666,610.7296,618.0275,684.3551,709.3726,738.1876,747.8262,706.0876,702.0913,720.3069,743.7166,723.2327,739.5772,760.2995,774.2058,790.4026,789.3697,787.4035,761.0555,759.1515
